organizationId,organizationName,id,name,description,address,city,state,zip,latitude,longitude,type,updatedAt,updatedAtHuman,categories,revenue,ein
1301946,Esperanza Academy Inc,1301946,Esperanza Academy Inc,"Part 1: esperanza academy, Inc. (The academy) is a tuition-free, independent middle school in the episcopal tradition welcoming girls of diverse faiths, races, and cultures from lawrence, massachusetts. The school inspires students to become active learners and responsible global citizens. We empower and prepare our girls to meet challenges with courage, integrity, and respect. - Part 3: the academy is a tuition-free, independent middle school in the episcopal tradition welcoming girls of diverse faiths, races, and cultures from lawrence, massachusetts. The school inspires students to become active learners and responsible global citizens. We empower and prepare our girls to meet challenges with courage, integrity, and respect.",198 Garden St,Lawrence,MA,01840,42.707974,-71.156623,organization,2023-10-10 20:37:31,1 month ago,WEDUC,2105529,731722348
394424,Flying Kites Inc,394424,Flying Kites Inc,"Part 1: at flying kites we are transforming primary education in rural kenya - part 3: at flying kites, we are transforming primary education in rural kenya.",25 Dorchester Ave,Boston,MA,02205,42.351803999999994,-71.05467300000001,organization,2023-10-10 20:15:45,1 month ago,"ND,WEDUC,WINTL",2040527,205946832
1946462,Neighbor To Neighbor Massachusetts Education Fund Inc,1946462,Neighbor To Neighbor Massachusetts Education Fund Inc,"Part 1: we promote education concering the needs of poor working families. We are the ""new majority:"" people of color, immigrants, women and the working class, on a path to liberation. Our statewide membership is organizing to put people and planet first before profit. We counter the fear that causes injustice by building power to transform the institutions that govern our lives. In an era of income inequality, environmental degradation and racism, our chapters are building power to confront this triple crisis in massachusetts. We fill the ballot box with our votes. We fill the streets with our voices. We SEED the new alternatives that put power and decision-making in the hands of those directly affected. - Part 3: see schedule o for part 1 line 1",8 Beacon St 5th Floor,Boston,MA,02108,0.001,0.001,organization,2023-10-10 20:12:43,1 month ago,"ND,WEDUC",2016660,043507716
1768861,Womens Foundation of Boston Inc,1768861,Womens Foundation of Boston Inc,"Part 1: economic advancement, leadership and financial independence of women and girls in the greater boston area. - Part 3: the women's foundation of boston creates, funds, and accelerateshigh-impact programs that promote the economic advancement, leadershipand financial independence of women and girls in greater boston.",423 Brookline Ave 223,Boston,MA,02215,42.346343999999995,-71.101022,organization,2023-10-10 20:41:03,1 month ago,"WHSV,WSW",1965555,815063201
1946154,Womens Institute for Housing and Economic Development Inc,1946154,Womens Institute for Housing and Economic Development Inc,"Part 1: the mission of the women's institute is to promote economic resilience and stable homes by developing and preserving high quality affordable and supportive housing, with an emphasis on under-served populations.",101 Federal St Ste 1900,Boston,MA,02110,0.001,-0.001,organization,2023-10-10 20:12:30,1 month ago,WSNW,1943006,042733078
290274,Bais Yaakov of Boston Inc,290274,Bais Yaakov of Boston Inc,"Part 1: bais yaakov of boston, the only all girls Jewish high school in boston, is a college preparatory school that provides a comprehensive and challenging judaic and secular studies program. It offers orthodox Jewish young women an environment that fosters a love of learning and traditional Jewish values and ethics, as well as a strong sense of commitment to community.",PO Box 351004,Brighton,MA,02135,42.35669,-71.14130999999999,organization,2023-10-10 20:12:40,1 month ago,WEDUC,1898164,043247061
1945756,Home for Aged Women in Salem Brookhouse Home for Aged Women,1945756,Home for Aged Women in Salem Brookhouse Home for Aged Women,"Part 1: to offer residential care for senior women. - Part 3: the organization's mission is to encourage and support the facility's residents in maintaining family and life long relationships through the operation of a 36-bed residential care facility in salem, massachusetts. Brookhouse home welcomes senior women without regard of race, creed or national origin.",180 Derby St,Salem,MA,01970,42.522655,-70.88857900000001,organization,2023-10-10 20:12:27,1 month ago,WHSV,1843167,042104318
551153,The Honorable Tina Brozman Foundation Inc,551153,The Honorable Tina Brozman Foundation Inc,Part 1: tina's wish is an ovarian cancer non-profit organization dedicated to funding groundbreaking scientific research for the early detection and prevention of ovarian cancer. Know early. Know hope. This is our mission. - Part 3: the honorable tina brozman foundation for ovarian cancer research (tina's wish) is an ovarian cancer non-profit organization dedicated to funding groundbreaking scientific research for the early detection and prevention of ovarian cancer. Know early. Know hope. This is our mission.,150 Federal St,Boston,MA,02110,42.353463000000005,-71.05695800000001,organization,2023-10-10 20:19:03,1 month ago,WHLTH,1833858,260413943
636555,Prosperity Catalyst Inc,636555,Prosperity Catalyst Inc,"Part 1: prosperity catalyst develops and strengthens women-led business in distressed regions, providing business and technical training, creating opportunities for women to achieve economic and social empowerment. - Part 3: prosperity catalyst develops and strengthens women-led businesses in distressed regions, providing business and technical training, creating opportunities for women to achieve economic and social empowerment.",PO Box 5542,Beverly,MA,01915,42.56378,-70.850633,organization,2023-10-10 20:21:10,1 month ago,WINTL,1791246,272911776
1946627,Vincent Memorial Hospital Foundation Inc,1946627,Vincent Memorial Hospital Foundation Inc,Part 1: to support programs for the care and treatment of the diseases of women at mass. General hospital. - Part 3: the primary mission of vincent memorial hospital foundation Inc is to support programs for the care and treatment of the diseases of women at massachusetts general hospital.,55 Fruit Street Aus 514,Boston,MA,02114,-0.001,0.001,organization,2023-10-10 20:12:47,1 month ago,WHLTH,1659600,046004286
953186,Mothers for Justice and Equality Inc,953186,Mothers for Justice and Equality Inc,Part 1: to end neighborhood violance by providing education and engagement services to individuals who have been impacted by violance and are at-risk of becoming a victim or perpetrator of violence.,2201 Washington Street Suite 307,Roxbury,MA,02119,0.001,0.001,organization,2023-10-10 20:27:30,1 month ago,WSNW,1542097,453741482
1940413,Neighborhood Villages Inc,1940413,Neighborhood Villages Inc,"Part 1: neighborhood villages envisions a future in which all families have access to affordable, high-quality early education and care. In service of this vision, we advocate for early education and care policy reform and implement innovative, scalable solutions that address the biggest challenges facing early education and care providers and the families who rely on them.",64 Sigourney St,Jamaica Plain,MA,02130,42.310919,-71.099243,organization,2023-10-10 20:41:36,1 month ago,WEDUC,1540460,821859365
1946353,The Ellie Fund,1946353,The Ellie Fund,"Part 1: to provide essential support services for breast cancer patients to ease the stresses of everyday life, allowing the focus to be on family, recovery, and healing. - Part 3: to provide essential support services for breast cancer patients to ease the stresses of everyday life, allowing the focus to be on family, recovery and healing.",200 Reservoir St Ste 300,Needham,MA,02494,0.001,0.001,organization,2023-10-10 20:12:40,1 month ago,"WEDUC,WHLTH",1523418,043280390
985192,Smcwc Crossroads Housing Inc Crossroads Shelter,985192,Smcwc Crossroads Housing Inc Crossroads Shelter,"Part 1: to shelter homeless families from the greater boston area and provide emergency food and clothing to those in need. - Part 3: smcwc - crossroads housing, Inc. Is dedicated to the emotional, educational, and economic health and wellbeing through shelter, care, treatment, education and training of poor disadvantaged women and children.",56 Havre St,East Boston,MA,02128,42.372094999999995,-71.041354,organization,2023-10-10 20:28:20,1 month ago,WHSV,1455364,461061701
321947,Julies Family Learning Program Inc,321947,Julies Family Learning Program Inc,"Part 1: julie's family learning program is dedicated to breaking the cycle of poverty among low-income, at risk families by providing services that enable mothers and their children to become healthy, responsible, successful at life, and economically self sufficient members of their communities. - Part 3: julie's family learning program is dedicated to breaking the cycle of poverty among low-income, at risk families by providing services that enable mothers and their children to become healthy, responsible, successful at life, and economically self-sufficient members of their communities.",133 Dorchester St,South Boston,MA,02127,42.333988000000005,-71.04629,organization,2023-10-10 20:13:27,1 month ago,WHSV,1441589,113692512
411961,Finex House Incorporated,411961,Finex House Incorporated,"Part 1: to provide wheelchair accessible, emergency shelter and comprehensive services - shelter plus care program for victims of domestic violence and their children who fall through the cracks of the existing provider network.",PO Box 301154,Dorchester,MA,02124,42.299004,-71.072718,organization,2023-10-10 20:16:07,1 month ago,GV,1365298,222479325
1946449,Health Care Without Walls Inc,1946449,Health Care Without Walls Inc,"Part 1: to improve the lives of homeless or marginally housed women by providing free, quality healthcare.",148 Linden St Ste 208,Wellesley,MA,02482,-0.001,0.001,organization,2023-10-10 20:12:43,1 month ago,WHSV,1356472,043487205
1946218,The Woodward School for Girls Inc Woodward School,1946218,The Woodward School for Girls Inc Woodward School,"Part 1: school for girls, grades six through twelve",1102 Hancock St,Quincy,MA,02169,0.001,0.001,organization,2023-10-10 20:12:37,1 month ago,"WEDUC,WSW",1335717,042952746
1945859,Jane Doe Inc A Massachusetts Coalition Against Sexual Assualt,1945859,Jane Doe Inc A Massachusetts Coalition Against Sexual Assualt,"Part 1: education and programming addressing root causes of sexual assault and domestic violence - part 3: bring together organizations and people committed to ending domestic violence and sexual assault. Create social change by addressing root causes of this violence, and promote justice, safety and healing for survivors. Advocates for responsive public policy, promotes collaboration, raises pulbic awareness, and supports our member organizations to provide comprehensive prevention and intervention services. We are guided by the voices of survivors.",745 Atlantic Avenue,Boston,MA,02111,42.351476,-71.056103,organization,2023-10-10 20:12:29,1 month ago,GV,1309968,042676138
646965,Plymouth 400 Inc,646965,Plymouth 400 Inc,Part 1: providing strategic planning and implementation of events and programs for the national commemoration of the voyage of mayflower and the founding of plymouth county.,PO Box 1062,Plymouth,MA,02362,41.956122,-70.66440899999999,organization,2023-10-10 20:21:26,1 month ago,WSNW,1301462,273757543
1946364,Provide Inc,1946364,Provide Inc,"Part 1: to educate, train, and assist healthcare and social service providers to care for and support women seeking abortion.",44 School St Ste 505,Boston,MA,02108,-0.001,-0.001,organization,2023-10-10 20:12:41,1 month ago,"RH,WADV",1297494,043298538
1325074,Emh Recovery Inc,1325074,Emh Recovery Inc,Part 1: the agency is committed to providing residential treatment for women with chemical dependency problems and their families.,678 North Main Sttreet,Brockton,MA,02301,42.10162,-71.020467,organization,2023-10-10 20:38:05,1 month ago,WHSV,1148128,743100810
1945760,YWCA of Southeastern Massachuetts,1945760,YWCA of Southeastern Massachuetts,"Part 1: to empower women, girls and their families, and to eliminate racism. - Part 3: the organization's mission is to empower women and girls and their families, and to eliminate racism. To accomplish these goals, the YWCA provides a wide range of services in four areas: adult, youth, health, and residential.",20 S 6th St,New Bedford,MA,02740,0.001,-0.001,organization,2023-10-10 20:12:27,1 month ago,WSNW,1078335,042104747
358088,Strong Women Strong Girls Inc,358088,Strong Women Strong Girls Inc,"Part 1: strong women, strong girls empowers girls to imagine a broader future through a curriculum grounded on female role models delivered by college women mentors, who are themselves mentored by professional women.",89 South St Ste Ll02,Boston,MA,02111,42.350789,-71.05649,organization,2023-10-10 20:14:55,1 month ago,"GIRL,WSW",1030533,202321377
